Gene	Module	kME
839	UNCLASSIFIED	NA
840	P1_I9_M3	0.89
841	P2_I6_M1	0.9
842	UNCLASSIFIED	NA
843	P1_I9_M1	0.83
844	P1_I9_M1	0.84
845	P1_I9_M2	0.88
846	P1_I9_M1	0.87
847	P1_I9_M1	0.96
848	UNCLASSIFIED	NA
849	UNCLASSIFIED	NA
850	P1_I9_M2	0.89
851	P1_I9_M1	0.89
852	UNCLASSIFIED	NA
853	P1_I9_M1	0.96
854	P1_I9_M2	0.82
855	UNCLASSIFIED	NA
856	UNCLASSIFIED	NA
857	P1_I9_M1	0.88
858	P1_I9_M1	0.82
859	UNCLASSIFIED	NA
860	P1_I9_M1	0.88
861	P1_I9_M1	0.81
862	P1_I9_M1	0.81
863	P2_I6_M3	0.98
864	P1_I9_M2	0.99
865	P1_I9_M2	0.9
866	UNCLASSIFIED	NA
867	UNCLASSIFIED	NA
868	UNCLASSIFIED	NA
869	UNCLASSIFIED	NA
870	UNCLASSIFIED	NA
871	P1_I9_M1	0.96
872	UNCLASSIFIED	NA
873	P1_I9_M2	0.94
874	P1_I9_M2	0.97
875	UNCLASSIFIED	NA
876	P1_I9_M1	0.9
877	P1_I9_M2	0.89
878	P1_I9_M2	0.91
879	UNCLASSIFIED	NA
880	P2_I6_M4	0.91
881	UNCLASSIFIED	NA
882	UNCLASSIFIED	NA
883	UNCLASSIFIED	NA
884	UNCLASSIFIED	NA
885	UNCLASSIFIED	NA
886	P1_I9_M2	0.82
887	P1_I9_M2	0.96
888	UNCLASSIFIED	NA
889	P1_I9_M2	0.94
890	UNCLASSIFIED	NA
891	UNCLASSIFIED	NA
892	P1_I9_M1	0.89
893	UNCLASSIFIED	NA
894	UNCLASSIFIED	NA
895	P1_I9_M2	0.95
896	P1_I9_M2	0.93
897	UNCLASSIFIED	NA
898	P1_I9_M2	0.8
899	UNCLASSIFIED	NA
900	UNCLASSIFIED	NA
901	UNCLASSIFIED	NA
902	UNCLASSIFIED	NA
903	UNCLASSIFIED	NA
904	P2_I6_M4	0.81
905	P1_I9_M2	0.84
906	UNCLASSIFIED	NA
